vesslterms,feature_type,chart,latdec,longdec,depth,histroy,quasou,watlev,coordinates
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1638927,,,,depth unknown,always under water/submerged,"[-76.5875087,39.1638927]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1640189,,,,depth unknown,always under water/submerged,"[-76.5487489,39.1640189]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.0257011,,,,depth unknown,always under water/submerged,"[-76.3205468,39.0257011]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.280446,,,,depth unknown,always under water/submerged,"[-76.1696353,39.280446]"
,"Wrecks - Submerged, dangerous","US,US,reprt,CL- 1477/03",38.948281,,,,depth unknown,always under water/submerged,"[-76.552526,38.948281]"
,Wrecks - Visible,"US,US,graph,Chart 12270",38.849422,,,,,always dry,"[-76.529711,38.849422]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.8526024,,,,depth unknown,always under water/submerged,"[-76.5062995,38.8526024]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5073421,,17.6,,least depth known,always under water/submerged,"[-76.392728,38.5073421]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.768384,,,,depth unknown,always under water/submerged,"[-76.5545278,38.768384]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.607541,,16.4,,least depth known,always under water/submerged,"[-76.430231,38.607541]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.908624,,,,depth unknown,always under water/submerged,"[-76.236118,38.908624]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.863789,,,,depth unknown,always under water/submerged,"[-76.257844,38.863789]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",39.1480932,,0.3,,least depth known,always under water/submerged,"[-76.2591889,39.1480932]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11450",38.3142523,,10.6,,least depth known,always under water/submerged,"[-76.3567476,38.3142523]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0983507,,,,depth unknown,always under water/submerged,"[-76.4416537,39.0983507]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.267581,,,,depth unknown,always under water/submerged,"[-75.79195,38.267581]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.561656,,9.1,,least depth known,always under water/submerged,"[-69.902544,41.561656]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2118135,,,,depth unknown,always under water/submerged,"[-76.5007429,39.2118135]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2487444,,,,depth unknown,always under water/submerged,"[-76.4838056,39.2487444]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12281",39.2162813,,,,depth unknown,always under water/submerged,"[-76.5572261,39.2162813]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12281",39.2620277,,,,depth unknown,always under water/submerged,"[-76.4689578,39.2620277]"
,Wrecks - Visible,"US,US,graph,Chart 12278",39.1557835,,,,,always dry,"[-76.5989668,39.1557835]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1710088,,,,depth unknown,always under water/submerged,"[-76.5163968,39.1710088]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.3030685,,,,depth unknown,always under water/submerged,"[-76.4066568,39.3030685]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1053529,,,,depth unknown,always under water/submerged,"[-76.1773624,39.1053529]"
,"Wrecks - Submerged, dangerous","US,US,reprt,5thCGD,LNM 35/87",38.865806,,8.5,,least depth known,always under water/submerged,"[-76.436423,38.865806]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.87098,,,,depth unknown,always under water/submerged,"[-76.517463,38.87098]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.956834,,,,depth unknown,always under water/submerged,"[-76.554695,38.956834]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.577432,,,,depth unknown,always under water/submerged,"[-75.953864,39.577432]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.450084,,,,depth unknown,always under water/submerged,"[-76.016198,39.450084]"
,Wrecks - Visible,"US,US,reprt,L-43/02",39.571398,,,,,partly submerged at high water,"[-76.080798,39.571398]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.578967,,,,depth unknown,always under water/submerged,"[-75.949911,39.578967]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.721194,,7.6,,least depth known,always under water/submerged,"[-76.48567,38.721194]"
,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.5423247,,17,,value reported (not confirmed),always under water/submerged,"[-76.423471,38.5423247]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5252606,,,,depth unknown,always under water/submerged,"[-76.2067228,38.5252606]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.500734,,,,depth unknown,always under water/submerged,"[-76.662689,38.500734]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.362416,,,,depth unknown,always under water/submerged,"[-76.38517,38.362416]"
,Wrecks - Visible,"US,US,graph,Chart 12264",38.393153,,,,,always dry,"[-76.223258,38.393153]"
,Wrecks - Visible,"US,US,graph,Chart 12264",38.323328,,,,,always dry,"[-76.228441,38.323328]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0405725,,,,depth unknown,always under water/submerged,"[-76.5591888,39.0405725]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",38.9901035,,7,,least depth known,always under water/submerged,"[-76.3991957,38.9901035]"
,Wrecks - Visible,"US,US,graph,Chart 12282",39.0083093,,,,,always dry,"[-76.396641,39.0083093]"
,"Wrecks - Submerged, nondangerous","US,US,reprt,5thCGD,LNM 15/15",38.9908481,,,,depth unknown,always under water/submerged,"[-76.36033,38.9908481]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.493952,,,,depth unknown,always under water/submerged,"[-70.029755,41.493952]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12281",39.216085,,,,depth unknown,always under water/submerged,"[-76.557397,39.216085]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.2168538,,,,depth unknown,always under water/submerged,"[-76.556594,39.2168538]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12281",39.214793,,,,depth unknown,always under water/submerged,"[-76.5866728,39.214793]"
