vesslterms,feature_type,chart,latdec,longdec,depth,histroy,quasou,watlev,coordinates
,Wrecks - Visible,"US,US,graph,Chart 11553",35.5390359,,,,,always dry,"[-76.6260807,35.5390359]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.015018,,,,depth unknown,always under water/submerged,"[-76.690048,35.015018]"
,Wrecks - Visible,"US,US,graph,Chart 11554",35.544388,,,,,always dry,"[-77.06982,35.544388]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11554",35.408026,,,,depth unknown,always under water/submerged,"[-76.817983,35.408026]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.099551,,,,depth unknown,always under water/submerged,"[-77.045418,35.099551]"
,Wrecks - Visible,"US,US,graph,Chart 11552",35.086773,,,,,always dry,"[-76.641453,35.086773]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.2710697,,,,depth unknown,always under water/submerged,"[-76.5915132,35.2710697]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.300726,,,,,always under water/submerged,"[-76.217494,36.300726]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.3068163,,,,,always under water/submerged,"[-76.207672,36.3068163]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.306728,,,,,always under water/submerged,"[-76.208718,36.306728]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",36.0582554,,,,depth unknown,always under water/submerged,"[-75.9668685,36.0582554]"
,Wrecks - Visible,"US,US,graph,Chart 11552",35.088056,,,,,always dry,"[-76.636577,35.088056]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.302888,,,,,always under water/submerged,"[-76.206385,36.302888]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.29994,,,,,always under water/submerged,"[-76.214547,36.29994]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.126804,,,,depth unknown,always under water/submerged,"[-77.028468,35.126804]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11554",35.337552,,,,depth unknown,always under water/submerged,"[-76.688467,35.337552]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.094677,,,,depth unknown,always under water/submerged,"[-77.007934,35.094677]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.002574,,,,depth unknown,always under water/submerged,"[-76.867073,35.002574]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.1020848,,5.7,,value reported (not confirmed),always under water/submerged,"[-76.5011533,35.1020848]"
,distributed remains of wreck,"US,US,graph,chart 12205",35.7841395,,0.6,,least depth known,always under water/submerged,"[-75.5184651,35.7841395]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 11554",35.400714,,,,depth unknown,always under water/submerged,"[-76.967141,35.400714]"
,"Wrecks - Submerged, dangerous","US,US,reprt,5thCGD,LNM 21/05",35.7867756,,1.8,,least depth known,always under water/submerged,"[-75.5168234,35.7867756]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.3108179,,,,depth unknown,always under water/submerged,"[-76.6094908,35.3108179]"
,Wrecks - Visible,"US,US,graph,Chart 11554",35.429698,,,,,always dry,"[-76.668292,35.429698]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.302233,,,,,always under water/submerged,"[-76.203762,36.302233]"
,Wrecks - Visible,"US,US,graph,Chart 11553",35.5423726,,,,,always dry,"[-76.6332448,35.5423726]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.4109179,,,,depth unknown,always under water/submerged,"[-76.554412,35.4109179]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12205",35.9197502,,,,depth unknown,always under water/submerged,"[-75.7118955,35.9197502]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.298922,,,,,always under water/submerged,"[-76.201121,36.298922]"
,Wrecks - Visible,"US,US,graph,Chart 11552",35.149959,,,,,always dry,"[-76.729504,35.149959]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",34.92803,,,,depth unknown,always under water/submerged,"[-76.651051,34.92803]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11554",35.316015,,,,depth unknown,always under water/submerged,"[-76.789973,35.316015]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11541",34.691572,,,,depth unknown,always under water/submerged,"[-76.888589,34.691572]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.9237774,,,,depth unknown,always under water/submerged,"[-75.9482271,35.9237774]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.306633,,,,,always under water/submerged,"[-76.206788,36.306633]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.120277,,,,depth unknown,always under water/submerged,"[-77.041057,35.120277]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.249109,,,,,always under water/submerged,"[-76.092931,36.249109]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.3402091,,,,depth unknown,always under water/submerged,"[-76.6128782,35.3402091]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.125766,,,,depth unknown,always under water/submerged,"[-77.0297,35.125766]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",36.0200115,,,,depth unknown,always under water/submerged,"[-75.9449963,36.0200115]"
,Wrecks - Visible,"US,US,graph,chart 12205",35.7859439,,,,,always dry,"[-75.5303798,35.7859439]"
,Wrecks - Visible,"US,US,graph,Chart 12206",36.123323,,,,,always dry,"[-76.021654,36.123323]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.302728,,,,,always under water/submerged,"[-76.214679,36.302728]"
,Wrecks - Visible,"US,US,graph,Chart 11541",35.034524,,,,,always dry,"[-76.464741,35.034524]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11541",34.140532,,,,depth unknown,always under water/submerged,"[-77.862952,34.140532]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.307242,,,,,always under water/submerged,"[-76.198277,36.307242]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",34.951257,,,,depth unknown,always under water/submerged,"[-76.890997,34.951257]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.2950529,,,,depth unknown,always under water/submerged,"[-76.6124006,35.2950529]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.29555,,,,depth unknown,always under water/submerged,"[-76.2175861,36.29555]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.303436,,,,,always under water/submerged,"[-76.200535,36.303436]"
,"Wrecks - Submerged, dangerous","US,US,reprt,5thCGD,LNM 21/05",35.7734,,10,,least depth known,always under water/submerged,"[-75.5294667,35.7734]"
,Wrecks - Visible,"US,US,graph,Chart 12206",36.313404,,,,,always dry,"[-76.216336,36.313404]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.312426,,,,,always under water/submerged,"[-76.199163,36.312426]"
,Wrecks - Visible,"US,US,graph,Chart 11541",34.297376,,,,,always dry,"[-77.740807,34.297376]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.30618,,,,,always under water/submerged,"[-76.211798,36.30618]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.303531,,,,,always under water/submerged,"[-76.208964,36.303531]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.302697,,,,,always under water/submerged,"[-76.200299,36.302697]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11554",35.436294,,,,depth unknown,always under water/submerged,"[-76.797609,35.436294]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11541",34.295919,,,,depth unknown,always under water/submerged,"[-77.711881,34.295919]"
,Wrecks - Visible,"US,US,graph,Chart 11553",35.3115042,,,,,always dry,"[-76.6013746,35.3115042]"
,Wrecks - Visible,"US,US,graph,Chart 11553",35.2957028,,,,,always dry,"[-76.5842784,35.2957028]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.9485833,,,,depth unknown,always under water/submerged,"[-75.9936553,35.9485833]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.303722,,,,,always under water/submerged,"[-76.206768,36.303722]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.302001,,,,,always under water/submerged,"[-76.215711,36.302001]"
,Wrecks - Visible,"US,US,graph,Chart 12206",36.634757,,,,,always dry,"[-76.054771,36.634757]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.697192,,,,,always under water/submerged,"[-76.073478,36.697192]"
,Wrecks - Visible,"US,US,graph,Chart 12206",36.698058,,,,,always dry,"[-76.076263,36.698058]"
,Wrecks - Visible,"US,US,graph,HS-11399 (NWID: 18093)",40.5377197,,,,,always dry,"[-74.2491114,40.5377197]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-2164/13",40.51175,,4.2,,,always under water/submerged,"[-74.1878889,40.51175]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12332",40.4977612,,,,depth unknown,always under water/submerged,"[-74.2891606,40.4977612]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12333",40.6442879,,,,depth unknown,always under water/submerged,"[-74.1659046,40.6442879]"
,Wrecks - Visible,"US,US,graph,Chart 12333",40.6439914,,,,,always dry,"[-74.1647934,40.6439914]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12333",40.6448712,,,,depth unknown,always under water/submerged,"[-74.1815405,40.6448712]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12317",38.950027,,,,depth unknown,always under water/submerged,"[-74.904495,38.950027]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12317",38.949665,,,,depth unknown,always under water/submerged,"[-74.912964,38.949665]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12571",38.8410611,,9.4,,least depth known,always under water/submerged,"[-74.92695,38.8410611]"
,Wrecks - Visible,"US,US,graph,Chart 12324",40.1799303,,,,,always dry,"[-74.0333439,40.1799303]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12339",40.8162824,,,,depth unknown,covers and uncovers,"[-73.8422341,40.8162824]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12339",40.7808227,,,,depth unknown,always under water/submerged,"[-73.8849683,40.7808227]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.910644,,,,depth unknown,always under water/submerged,"[-73.544302,40.910644]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191412",40.977478,,18.5,,least depth known,always under water/submerged,"[-73.476958,40.977478]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12366",40.8344172,,1.8,,least depth known,always under water/submerged,"[-73.7926396,40.8344172]"
,Wrecks - Visible,"US,US,graph,Chart 17370",56.6179893,,,,,always dry,"[-134.187136,56.6179893]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0488902,,5.1,,least depth known,always under water/submerged,"[-135.3450363,57.0488902]"
,Wrecks - Visible,"US,US,graph,Chart 17409",54.8540933,,,,,always dry,"[-132.7787054,54.8540933]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16433",52.944766,,,,depth unknown,always under water/submerged,"[173.281672,52.944766]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18650",37.783549,,0.3,,least depth known,always under water/submerged,"[-122.2535418,37.783549]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12368",41.0725275,,5.1,,value reported (not confirmed),always under water/submerged,"[-73.3419145,41.0725275]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-190313",43.0409413,,14.3,,least depth known,always under water/submerged,"[-70.6956476,43.0409413]"
,Wrecks - Visible,"US,US,graph,Chart 12332",40.4918268,,,,,always dry,"[-74.3285734,40.4918268]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",39.920481,,,,depth unknown,always under water/submerged,"[-74.083328,39.920481]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.986234,,13.7,,least depth known,always under water/submerged,"[-73.537748,40.986234]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.9115968,,8.8,,least depth known,always under water/submerged,"[-73.3838468,40.9115968]"
,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1409860",9.3560572,,,,depth unknown,always under water/submerged,"[-79.9074173,9.3560572]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0446881,,6.4,,least depth known,always under water/submerged,"[-135.3499846,57.0446881]"
,"Wrecks - Submerged, dangerous","US,US,reprt,17th CGD LNM 30/14",57.055648,,,,depth unknown,always under water/submerged,"[-135.3524555,57.055648]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17407",55.11391,,,,depth unknown,always under water/submerged,"[-133.256949,55.11391]"
,"Wrecks - Submerged, dangerous","US,US,reprt,DD-11872",34.4104165,,5.4,,value reported (not confirmed),always under water/submerged,"[-119.6786843,34.4104165]"
,"Wrecks - Submerged, nondangerous","US,US,reprt,L-1681/02",40.5597765,,,,depth unknown,covers and uncovers,"[-74.2354468,40.5597765]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12331",40.4551428,,,,depth unknown,always under water/submerged,"[-74.2162956,40.4551428]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12333",40.6406794,,,,depth unknown,always under water/submerged,"[-74.1268054,40.6406794]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12337",40.6990974,,,,depth unknown,always under water/submerged,"[-74.1211462,40.6990974]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12316",39.4524548,,,,depth unknown,always under water/submerged,"[-74.3158991,39.4524548]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",40.246422,,,,depth unknown,always under water/submerged,"[-73.991171,40.246422]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",39.69484,,6.7,,least depth known,always under water/submerged,"[-74.134582,39.69484]"
,"Wrecks - Submerged, nondangerous","US,US,graph,H-11536",40.0338194,,20.4,,least depth known,always under water/submerged,"[-73.9658972,40.0338194]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191412",40.958714,,19.2,,least depth known,always under water/submerged,"[-73.527042,40.958714]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12365",40.9879302,,25.9,,least depth known,always under water/submerged,"[-73.4090959,40.9879302]"
,"Wrecks - Submerged, dangerous","US,US,reprt,1stCGD,LNM 05/06",40.84,,,,depth unknown,always under water/submerged,"[-73.7916667,40.84]"
,Wrecks - Visible,"US,US,graph,Chart 16599",57.544667,,,,,partly submerged at high water,"[-153.985721,57.544667]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 16432",52.7623202,,1.2,,least depth known,always under water/submerged,"[173.3037975,52.7623202]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18650",37.8447315,,7,,least depth known,always under water/submerged,"[-122.369609,37.8447315]"
,"Wrecks - Submerged, dangerous","US,U1,reprt,NM 45/04",38.0636667,,,,depth unknown,always under water/submerged,"[-122.2986667,38.0636667]"
,Wrecks - Visible,"US,US,graph,chart 18656",38.1684325,,,,,always dry,"[-122.0392632,38.1684325]"
,Wrecks - Visible,"US,US,reprt,L-740/02",38.1035278,,,,,always dry,"[-121.5909444,38.1035278]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12316",39.5440617,,,,depth unknown,always under water/submerged,"[-74.3057216,39.5440617]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12317",38.960197,,,,depth unknown,always under water/submerged,"[-74.86613,38.960197]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11536",40.0611232,,15.5,,least depth known,always under water/submerged,"[-74.0081524,40.0611232]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",40.24546,,,,depth unknown,always under water/submerged,"[-73.942781,40.24546]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191412",40.960228,,19.2,,least depth known,always under water/submerged,"[-73.535186,40.960228]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",18.53689,,,,,always under water/submerged,"[-72.3630676,18.53689]"
,Wrecks - Visible,"US,US,graph,Chart 17370",56.6089607,,,,,always dry,"[-134.2126352,56.6089607]"
,Wrecks - Visible,"US,US,graph,Chart 17423",55.601466,,,,,always dry,"[-131.636813,55.601466]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191942",55.3367902,,,,depth unknown,always under water/submerged,"[-160.5242367,55.3367902]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18649",37.781205,,18.8,,least depth known,always under water/submerged,"[-122.5510801,37.781205]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18650",37.8047403,,6.7,,least depth known,always under water/submerged,"[-122.3580682,37.8047403]"
,Wrecks - Visible,"US,US,graph,Chart 18660",38.0921527,,,,,always dry,"[-121.6688663,38.0921527]"
,Wrecks - Visible,"US,US,graph,Chart 18659",38.0768875,,,,,always dry,"[-121.9092267,38.0768875]"
,Wrecks - Visible,"US,US,graph,Chart 18666",38.07767,,,,,always dry,"[-121.956427,38.07767]"
,Wrecks - Visible,"US,US,graph,Chart 13285",43.09617,,,,,always dry,"[-70.765602,43.09617]"
,,"US,US,graph,HS-11398 (NWID: 18014)",40.5571733,,4.2,,,always under water/submerged,"[-74.2193383,40.5571733]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12331",40.5224254,,,,depth unknown,covers and uncovers,"[-74.1730787,40.5224254]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12331",40.4641408,,,,depth unknown,always under water/submerged,"[-74.2529307,40.4641408]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-2164/13",40.4878056,,3.3,,,always under water/submerged,"[-74.2028333,40.4878056]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L1132/15",40.5420833,,1.5,,,always under water/submerged,"[-74.1293889,40.5420833]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12333",40.6440501,,,,depth unknown,always under water/submerged,"[-74.1726465,40.6440501]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12333",40.6442282,,,,depth unknown,always under water/submerged,"[-74.1628807,40.6442282]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",40.268974,,16.4,,least depth known,always under water/submerged,"[-73.942877,40.268974]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.898004,,0.6,,least depth known,always under water/submerged,"[-73.35687,40.898004]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.9224126,,2.1,,least depth known,always under water/submerged,"[-73.377772,40.9224126]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.9220331,,5.1,,least depth known,always under water/submerged,"[-73.4032965,40.9220331]"
,,"US,US,graph,Chart 12365",40.940547,,9.1,,least depth known,always under water/submerged,"[-73.425618,40.940547]"
,Wrecks - Visible,"US,US,reprt,L-1218/15",9.5574865,,,,,always dry,"[-78.8790131,9.5574865]"
,Wrecks - Visible,"US,US,graph,Chart 17430",55.337447,,,,,always dry,"[-131.6814564,55.337447]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 16476",51.8644945,,,,depth unknown,always under water/submerged,"[-176.618397,51.8644945]"
,"Wrecks - Submerged, dangerous","US,US,reprt,8thCGD,LNM 02/04",30.651667,,,,depth unknown,always under water/submerged,"[-88.028333,30.651667]"
,Wrecks - Visible,"US,US,graph,GC-10575,DD-6886(CEF)",37.7344579,,,,,always dry,"[-122.3748421,37.7344579]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18650",37.7740472,,6.7,,least depth known,always under water/submerged,"[-122.2402889,37.7740472]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18651",37.49552,,,,depth unknown,always under water/submerged,"[-122.216182,37.49552]"
,Wrecks - Visible,"US,US,graph,chart 18657",38.0564156,,,,,always dry,"[-122.1704185,38.0564156]"
,"Wrecks - Submerged, dangerous","US,US,graph,H12340",38.0612237,,7.1,,least depth known,always under water/submerged,"[-121.9751017,38.0612237]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12332",40.4850644,,,,depth unknown,always under water/submerged,"[-74.3520759,40.4850644]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12337",40.7126924,,,,depth unknown,always under water/submerged,"[-74.1061006,40.7126924]"
,Wrecks - Visible,"US,US,graph,Chart 12337",40.8367734,,,,,always dry,"[-74.0294908,40.8367734]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12316",39.4004594,,,,depth unknown,always under water/submerged,"[-74.4125375,39.4004594]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12597",39.5014774,,3.6,,least depth known,always under water/submerged,"[-74.2790748,39.5014774]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",39.888378,,,,depth unknown,always under water/submerged,"[-74.134722,39.888378]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",39.624441,,,,depth unknown,always under water/submerged,"[-74.201965,39.624441]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",40.099779,,,,depth unknown,always under water/submerged,"[-74.055002,40.099779]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11536",40.1091917,,15.8,,least depth known,always under water/submerged,"[-73.9690694,40.1091917]"
,"Wrecks - Submerged, dangerous","US,US,reprt,1stCGD,LNM 11/98",40.8027839,,18.8,,least depth known,always under water/submerged,"[-73.903613,40.8027839]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12339",40.7927753,,,,depth unknown,always under water/submerged,"[-73.8360115,40.7927753]"
,Wrecks - Visible,"US,US,graph,GC-10732",57.7751804,,,,,always dry,"[-152.4001801,57.7751804]"
,Wrecks - Visible,"US,US,graph,chart 11378",30.3213278,,,,,always dry,"[-87.4344345,30.3213278]"
,"Wrecks - Submerged, nondangerous","US,US,graph,GC-10575,DD-6886(CEF)",37.7538284,,,,depth unknown,always under water/submerged,"[-122.3782848,37.7538284]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12618",33.748389,,5.6,,least depth known,always under water/submerged,"[-118.1471556,33.748389]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12617",33.7101306,,13.5,,least depth known,always under water/submerged,"[-118.2445611,33.7101306]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18643",38.333348,,,,depth unknown,always under water/submerged,"[-123.077961,38.333348]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12364",41.0090975,,34.4,,least depth known,always under water/submerged,"[-73.1146891,41.0090975]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.312258,,,,,always under water/submerged,"[-76.203388,36.312258]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12333",40.6445495,,,,depth unknown,always under water/submerged,"[-74.1662878,40.6445495]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12331",40.555764,,,,depth unknown,covers and uncovers,"[-74.2306407,40.555764]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12331",40.512933,,,,depth unknown,always under water/submerged,"[-74.2597,40.512933]"
,Wrecks - Visible,"US,US,graph,Chart 12317",38.953356,,,,,always dry,"[-74.882857,38.953356]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11536",40.0770309,,18.2,,least depth known,always under water/submerged,"[-73.9753934,40.0770309]"
,"Wrecks - Submerged, dangerous","US,US,reprt,DD-7266",40.7736756,,14.3,,least depth known,always under water/submerged,"[-73.9428158,40.7736756]"
,"Wrecks - Submerged, nondangerous","US,US,graph,chart 12339",40.8030445,,21.9,,least depth known,always under water/submerged,"[-73.9019337,40.8030445]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12339",40.7861473,,,,depth unknown,always under water/submerged,"[-73.871698,40.7861473]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12339",40.7998059,,9.7,,least depth known,always under water/submerged,"[-73.8573869,40.7998059]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12365",40.990255,,37.4,,least depth known,always under water/submerged,"[-73.433105,40.990255]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.996469,,,,depth unknown,always under water/submerged,"[-73.576101,40.996469]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12365",40.987594,,28.9,,least depth known,always under water/submerged,"[-73.434106,40.987594]"
,,"US,US,graph,Chart 12365",40.888355,,2.7,,least depth known,always under water/submerged,"[-73.4171081,40.888355]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.8995499,,2.7,,least depth known,always under water/submerged,"[-73.4332632,40.8995499]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-1-2015",9.3560556,,2.5,,,always under water/submerged,"[-79.9089722,9.3560556]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17430",55.4053545,,13.1,,least depth known,always under water/submerged,"[-131.7217744,55.4053545]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18650",37.8138189,,0.3,,,always under water/submerged,"[-122.3668346,37.8138189]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18660",38.0271432,,1.5,,least depth known,always under water/submerged,"[-121.7281181,38.0271432]"
,Wrecks - Visible,"US,US,graph,Chart 18660",38.0335962,,,,,always dry,"[-121.7827676,38.0335962]"
,Wrecks - Visible,"US,US,graph,Chart 18660",38.0120485,,,,,always dry,"[-121.6505587,38.0120485]"
,Wrecks - Visible,"US,US,graph,DD-12386",38.1679343,,,,,always dry,"[-121.6801026,38.1679343]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12617",33.73925,,11.8,,least depth known,always under water/submerged,"[-118.232385,33.73925]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18754",33.599994,,,,depth unknown,always under water/submerged,"[-117.8841707,33.599994]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18603",41.7384645,,,,depth unknown,always under water/submerged,"[-124.2000096,41.7384645]"
,Wrecks - Visible,"US,US,graph,Chart 18666",38.076584,,,,,always dry,"[-121.953553,38.076584]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12333",40.6880159,,,,depth unknown,always under water/submerged,"[-74.1248082,40.6880159]"
,Wrecks - Visible,"US,US,graph,Chart 12316",39.3755836,,,,,always dry,"[-74.4596579,39.3755836]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12324",39.861958,,,,depth unknown,always under water/submerged,"[-74.125907,39.861958]"
,Wrecks - Visible,"US,US,graph,Chart 12324",39.760038,,,,,always dry,"[-74.091532,39.760038]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.897475,,3,,least depth known,always under water/submerged,"[-73.42691,40.897475]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12365",40.8983792,,5.1,,least depth known,always under water/submerged,"[-73.4320782,40.8983792]"
,"Wrecks - Submerged, nondangerous","US,US,graph,BP-191413",40.8419778,,21,,least depth known,always under water/submerged,"[-73.7602145,40.8419778]"
,Wrecks - Visible,"US,US,reprt,L-246-2015",18.1898632,,,,,always dry,"[-73.7465439,18.1898632]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17324",57.1304456,,38.4,,least depth known,always under water/submerged,"[-135.3786089,57.1304456]"
,Wrecks - Visible,"US,US,graph,Chart 17375",56.8207622,,,,,always dry,"[-132.9612657,56.8207622]"
,Wrecks - Visible,"US,US,graph,Chart 18653",37.9370296,,,,,always dry,"[-122.414737,37.9370296]"
,Wrecks - Visible,"US,US,graph,chart 18657",38.0686754,,-0.9,,least depth known,covers and uncovers,"[-122.1864209,38.0686754]"
